roadName,predictedSpeed,timeStamp
Cent.1,10.7,2021-05-15 21:45:21
Cent.2,76.3,2021-05-15 10:45:26
Cent.2,76.3,2021-05-15 11:45:26
Cent.2,76.3,2021-05-15 12:45:26
Cent.2,76.3,2021-05-15 13:45:26
Cent.2,76.3,2021-05-15 14:45:26
Cent.2,76.3,2021-05-15 15:45:26
Cent.2,76.3,2021-05-15 16:45:26
Cent.2,76.3,2021-05-15 17:45:26
Cent.2,76.3,2021-05-15 18:45:26
Cent.2,76.3,2021-05-15 19:45:26
Cent.2,76.3,2021-05-15 20:45:26
Cent.2,76.3,2021-05-15 21:45:26
Cent.3,76.3,2021-05-15 10:45:31
Cent.3,76.3,2021-05-15 11:45:31
Cent.3,76.3,2021-05-15 12:45:31
Cent.3,76.3,2021-05-15 13:45:31
Cent.3,76.3,2021-05-15 14:45:31
Cent.3,76.3,2021-05-15 15:45:31
Cent.3,76.3,2021-05-15 16:45:31
Cent.3,76.3,2021-05-15 17:45:31
Cent.3,76.3,2021-05-15 18:45:31
Cent.3,76.3,2021-05-15 19:45:31
Cent.3,76.3,2021-05-15 20:45:31
Cent.3,76.3,2021-05-15 21:45:31
Cent.4,75.2,2021-05-15 10:45:36
Cent.4,75.3,2021-05-15 11:45:36
Cent.4,75.3,2021-05-15 12:45:36
Cent.4,75.3,2021-05-15 13:45:36
Cent.4,75.3,2021-05-15 14:45:36
Cent.4,75.3,2021-05-15 15:45:36
Cent.4,75.3,2021-05-15 16:45:36
Cent.4,75.4,2021-05-15 17:45:36
Cent.4,75.4,2021-05-15 18:45:36
Cent.4,75.4,2021-05-15 19:45:36
Cent.4,75.4,2021-05-15 20:45:36
Cent.4,75.4,2021-05-15 21:45:36
